fecha,Embalse,C2RCC,C2X,C2XC,Medicion
2017-06-01,Acebo,0.0002875826903618872,0.000467691570520401,70.03703308105469,3.0
2017-06-01,Aguijon,,,,
2017-06-01,Alcuescar,,,,
2017-06-01,Aldea del Cano,,,,
2017-06-01,Aliseda,,,,
2017-06-01,Alpotrel,,,,
2017-06-01,Arrocerezal,,,,
2017-06-01,Brozas,,,,
2017-06-01,Burguillos del Cerro,,,,
2017-06-01,Cantalgallo,,,,
2017-06-01,Carrascalejo,,,,
2017-06-01,El Santo,,,,
2017-06-01,Garciaz,,,,
2017-06-01,Garganta del Obispo,,,,
2017-06-01,Guadalupe,,,,
2017-06-01,Hervas,,,,
2017-06-01,Jaime Ozores,20.784957885742188,50.08476257324219,83.45684051513672,18.0
2017-06-01,Llerena,,,,
2017-06-01,Los Angeles,,,,
2017-06-01,Los Huertos,,,,
2017-06-01,Madronnera,,,,
2017-06-01,Majadillas,,,,
2017-06-01,Majarrobledo,,,,
2017-06-01,Membrio,,,,
2017-06-01,Navarredonda,,,,
2017-06-01,Navas del Madronno,,,,
2017-06-01,Nogales,,,,
2017-06-01,Palomero,,,,
2017-06-01,Pretura del Molino,,,,
2017-06-01,Ribera del Castanno,,,,
2017-06-01,Rubiales,,,,
2017-06-01,San Marcos,,,,
2017-06-01,Santa Lucia,,,,
2017-06-01,Talavan,5.717299938201904,7.864384651184082,23.662273406982422,10.8
2017-06-01,Tres Torres,,,,
2017-06-01,la Pesga,,,,
2017-11-01,Acebo,,,,
2017-11-01,Aguijon,,,,
2017-11-01,Alcuescar,,,,
2017-11-01,Aldea del Cano,,,,
2017-11-01,Aliseda,,,,
2017-11-01,Alpotrel,,,,
2017-11-01,Arrocerezal,,,,
2017-11-01,Brozas,,,,
2017-11-01,Burguillos del Cerro,,,,
2017-11-01,Cantalgallo,,,,
2017-11-01,Carrascalejo,,,,
2017-11-01,El Santo,,,,
2017-11-01,Garciaz,,,,
2017-11-01,Garganta del Obispo,,,,
2017-11-01,Guadalupe,,,,
2017-11-01,Hervas,,,,
2017-11-01,Jaime Ozores,1.2610421180725098,234.41671752929688,734.1956787109375,74.0
2017-11-01,Llerena,,,,
2017-11-01,Los Angeles,,,,
2017-11-01,Los Huertos,,,,
2017-11-01,Madronnera,,,,
2017-11-01,Majadillas,,,,
2017-11-01,Majarrobledo,,,,
2017-11-01,Membrio,,,,
2017-11-01,Navarredonda,,,,
2017-11-01,Navas del Madronno,,,,
2017-11-01,Nogales,,,,
2017-11-01,Palomero,,,,
2017-11-01,Pretura del Molino,,,,
2017-11-01,Ribera del Castanno,,,,
2017-11-01,Rubiales,,,,
2017-11-01,San Marcos,,,,
2017-11-01,Santa Lucia,,,,
2017-11-01,Talavan,2.6268129348754883,9.400901794433594,35.25731658935547,9.0
2017-11-01,Tres Torres,,,,
2017-11-01,la Pesga,,,,
2018-06-01,Acebo,,,,
2018-06-01,Aguijon,,,,
2018-06-01,Alcuescar,,,,
2018-06-01,Aldea del Cano,,,,
2018-06-01,Aliseda,,,,
2018-06-01,Alpotrel,,,,
2018-06-01,Arrocerezal,,,,
2018-06-01,Brozas,,,,
2018-06-01,Burguillos del Cerro,,,,
2018-06-01,Cantalgallo,,,,
2018-06-01,Carrascalejo,,,,
2018-06-01,El Santo,,,,
2018-06-01,Garciaz,,,,
2018-06-01,Garganta del Obispo,,,,
2018-06-01,Guadalupe,,,,
2018-06-01,Hervas,,,,
2018-06-01,Jaime Ozores,12.705032348632812,30.15651512145996,69.19629669189453,14.0
2018-06-01,Llerena,,,,
2018-06-01,Los Angeles,,,,
2018-06-01,Los Huertos,,,,
2018-06-01,Madronnera,,,,
2018-06-01,Majadillas,,,,
2018-06-01,Majarrobledo,,,,
2018-06-01,Membrio,,,,
2018-06-01,Navarredonda,,,,
2018-06-01,Navas del Madronno,,,,
2018-06-01,Nogales,,,,
2018-06-01,Palomero,,,,
2018-06-01,Pretura del Molino,,,,
2018-06-01,Ribera del Castanno,,,,
2018-06-01,Rubiales,,,,
2018-06-01,San Marcos,,,,
2018-06-01,Santa Lucia,,,,
2018-06-01,Talavan,4.307905673980713,5.17432975769043,45.52199935913086,8.0
2018-06-01,Tres Torres,,,,
2018-06-01,la Pesga,,,,
2018-11-01,Acebo,,,,
2018-11-01,Aguijon,,,,
2018-11-01,Alcuescar,,,,
2018-11-01,Aldea del Cano,,,,
2018-11-01,Aliseda,,,,
2018-11-01,Alpotrel,,,,
2018-11-01,Arrocerezal,,,,
2018-11-01,Brozas,,,,
2018-11-01,Burguillos del Cerro,,,,
2018-11-01,Cantalgallo,,,,
2018-11-01,Carrascalejo,,,,
2018-11-01,El Santo,,,,
2018-11-01,Garciaz,,,,
2018-11-01,Garganta del Obispo,,,,
2018-11-01,Guadalupe,,,,
2018-11-01,Hervas,,,,
2018-11-01,Jaime Ozores,0.13661961257457733,168.80763244628906,831.1431274414062,39.0
2018-11-01,Llerena,,,,
2018-11-01,Los Angeles,,,,
2018-11-01,Los Huertos,,,,
2018-11-01,Madronnera,,,,
2018-11-01,Majadillas,,,,
2018-11-01,Majarrobledo,,,,
2018-11-01,Membrio,,,,
2018-11-01,Navarredonda,,,,
2018-11-01,Navas del Madronno,,,,
2018-11-01,Nogales,,,,
2018-11-01,Palomero,,,,
2018-11-01,Pretura del Molino,,,,
2018-11-01,Ribera del Castanno,,,,
2018-11-01,Rubiales,,,,
2018-11-01,San Marcos,,,,
2018-11-01,Santa Lucia,,,,
2018-11-01,Talavan,34.96571731567383,24.024837493896484,166.1439208984375,32.0
2018-11-01,Tres Torres,,,,
2018-11-01,la Pesga,,,,
2019-06-01,Acebo,,,,
2019-06-01,Aguijon,,,,
2019-06-01,Alcuescar,,,,
2019-06-01,Aldea del Cano,,,,
2019-06-01,Aliseda,,,,
2019-06-01,Alpotrel,,,,
2019-06-01,Arrocerezal,,,,
2019-06-01,Brozas,,,,
2019-06-01,Burguillos del Cerro,,,,
2019-06-01,Cantalgallo,,,,
2019-06-01,Carrascalejo,,,,
2019-06-01,El Santo,,,,
2019-06-01,Garciaz,,,,
2019-06-01,Garganta del Obispo,,,,
2019-06-01,Guadalupe,,,,
2019-06-01,Hervas,,,,
2019-06-01,Jaime Ozores,9.568655967712402,9.347186088562012,9.347186088562012,14.56
2019-06-01,Llerena,,,,
2019-06-01,Los Angeles,,,,
2019-06-01,Los Huertos,,,,
2019-06-01,Madronnera,,,,
2019-06-01,Majadillas,,,,
2019-06-01,Majarrobledo,,,,
2019-06-01,Membrio,,,,
2019-06-01,Navarredonda,,,,
2019-06-01,Navas del Madronno,,,,
2019-06-01,Nogales,,,,
2019-06-01,Palomero,,,,
2019-06-01,Pretura del Molino,,,,
2019-06-01,Ribera del Castanno,,,,
2019-06-01,Rubiales,,,,
2019-06-01,San Marcos,,,,
2019-06-01,Santa Lucia,,,,
2019-06-01,Talavan,0.8047015070915222,7.028012752532959,9.50469970703125,3.0
2019-06-01,Tres Torres,,,,
2019-06-01,la Pesga,,,,
2019-11-01,Acebo,,,,
2019-11-01,Aguijon,,,,
2019-11-01,Alcuescar,,,,
2019-11-01,Aldea del Cano,,,,
2019-11-01,Aliseda,,,,
2019-11-01,Alpotrel,,,,
2019-11-01,Arrocerezal,,,,
2019-11-01,Brozas,,,,
2019-11-01,Burguillos del Cerro,,,,
2019-11-01,Cantalgallo,,,,
2019-11-01,Carrascalejo,,,,
2019-11-01,El Santo,,,,
2019-11-01,Garciaz,,,,
2019-11-01,Garganta del Obispo,,,,
2019-11-01,Guadalupe,,,,
2019-11-01,Hervas,,,,
2019-11-01,Jaime Ozores,0.0,0.0,0.0,200.0
2019-11-01,Llerena,,,,
2019-11-01,Los Angeles,,,,
2019-11-01,Los Huertos,,,,
2019-11-01,Madronnera,,,,
2019-11-01,Majadillas,,,,
2019-11-01,Majarrobledo,,,,
2019-11-01,Membrio,,,,
2019-11-01,Navarredonda,,,,
2019-11-01,Navas del Madronno,,,,
2019-11-01,Nogales,,,,
2019-11-01,Palomero,,,,
2019-11-01,Pretura del Molino,,,,
2019-11-01,Ribera del Castanno,,,,
2019-11-01,Rubiales,,,,
2019-11-01,San Marcos,,,,
2019-11-01,Santa Lucia,,,,
2019-11-01,Talavan,0.5699825286865234,76.9855728149414,58.70382308959961,10.0
2019-11-01,Tres Torres,,,,
2019-11-01,la Pesga,,,,
2020-06-01,Acebo,,,,
2020-06-01,Aguijon,,,,
2020-06-01,Alcuescar,,,,
2020-06-01,Aldea del Cano,,,,
2020-06-01,Aliseda,,,,
2020-06-01,Alpotrel,,,,
2020-06-01,Arrocerezal,,,,
2020-06-01,Brozas,,,,
2020-06-01,Burguillos del Cerro,,,,
2020-06-01,Cantalgallo,,,,
2020-06-01,Carrascalejo,,,,
2020-06-01,El Santo,,,,
2020-06-01,Garciaz,,,,
2020-06-01,Garganta del Obispo,,,,
2020-06-01,Guadalupe,,,,
2020-06-01,Hervas,,,,
2020-06-01,Jaime Ozores,,,,
2020-06-01,Llerena,,,,
2020-06-01,Los Angeles,,,,
2020-06-01,Los Huertos,,,,
2020-06-01,Madronnera,,,,
2020-06-01,Majadillas,,,,
2020-06-01,Majarrobledo,,,,
2020-06-01,Membrio,,,,
2020-06-01,Navarredonda,,,,
2020-06-01,Navas del Madronno,,,,
2020-06-01,Nogales,,,,
2020-06-01,Palomero,,,,
2020-06-01,Pretura del Molino,,,,
2020-06-01,Ribera del Castanno,,,,
2020-06-01,Rubiales,,,,
2020-06-01,San Marcos,,,,
2020-06-01,Santa Lucia,,,,
2020-06-01,Talavan,,,,
2020-06-01,Tres Torres,,,,
2020-06-01,la Pesga,,,,
2020-11-01,Acebo,,,,2.5
2020-11-01,Aguijon,0.0,0.0,0.0,5.27
2020-11-01,Alcuescar,,,,16.3
2020-11-01,Aldea del Cano,,,,131.6
2020-11-01,Aliseda,,,,12.65
2020-11-01,Alpotrel,25.635278701782227,3.3696107864379883,49.73668670654297,25.0
2020-11-01,Arrocerezal,,,,0.73
2020-11-01,Brozas,29.344209671020508,3.5102453231811523,83.06876373291016,36.57
2020-11-01,Burguillos del Cerro,13.446849822998047,49.022525787353516,43.39826202392578,14.88
2020-11-01,Cantalgallo,4.221156120300293,22.94657325744629,69.06059265136719,8.2
2020-11-01,Carrascalejo,,,,7.3
2020-11-01,El Santo,4.692127227783203,0.0006663196836598217,7.496738433837891,9.77
2020-11-01,Garciaz,,,,5.53
2020-11-01,Garganta del Obispo,,,,0.97
2020-11-01,Guadalupe,,,,7.29
2020-11-01,Hervas,,,,8.42
2020-11-01,Jaime Ozores,18.234777450561523,6.796108245849609,140.5431671142578,35.68
2020-11-01,Llerena,21.63697052001953,14.823966979980469,52.1145133972168,44.85
2020-11-01,Los Angeles,,,,3.99
2020-11-01,Los Huertos,17.501617431640625,63.84919738769531,199.93594360351562,32.54
2020-11-01,Madronnera,,,,19.76
2020-11-01,Majadillas,2.027338981628418,0.16691337525844574,0.13526703417301178,5.16
2020-11-01,Majarrobledo,,,,0.4
2020-11-01,Membrio,,,,19.53
2020-11-01,Navarredonda,,,,101.63
2020-11-01,Navas del Madronno,29.482284545898438,57.26884078979492,57.26884078979492,31.19
2020-11-01,Nogales,0.0,0.0,0.0,37.27
2020-11-01,Palomero,3.428905725479126,0.47375789284706116,0.6963456869125366,2.35
2020-11-01,Pretura del Molino,1.5189225673675537,1.3576579093933105,6.664767265319824,5.58
2020-11-01,Ribera del Castanno,,,,10.51
2020-11-01,Rubiales,,,,74.74
2020-11-01,San Marcos,,,,6.3
2020-11-01,Santa Lucia,0.33305230736732483,1.5270557403564453,4.882270336151123,4.22
2020-11-01,Talavan,,,,11.67
2020-11-01,Tres Torres,,,,49.46
2020-11-01,la Pesga,,,,6.24
2021-06-01,Acebo,,,,
2021-06-01,Aguijon,,,,47.07
2021-06-01,Alcuescar,0.03736921399831772,35.42325210571289,199.15611267089844,26.89
2021-06-01,Aldea del Cano,56.57090377807617,185.8502960205078,242.36903381347656,82.09
2021-06-01,Aliseda,,,,
2021-06-01,Alpotrel,,,,
2021-06-01,Arrocerezal,,,,
2021-06-01,Brozas,30.516162872314453,181.56768798828125,175.03700256347656,50.1
2021-06-01,Burguillos del Cerro,67.67899322509766,231.24246215820312,357.4459228515625,88.95
2021-06-01,Cantalgallo,,,,
2021-06-01,Carrascalejo,,,,
2021-06-01,El Santo,,,,
2021-06-01,Garciaz,,,,
2021-06-01,Garganta del Obispo,,,,
2021-06-01,Guadalupe,,,,
2021-06-01,Hervas,,,,
2021-06-01,Jaime Ozores,0.14740760624408722,283.04022216796875,740.2020263671875,43.74
2021-06-01,Llerena,,,,
2021-06-01,Los Angeles,,,,
2021-06-01,Los Huertos,24.049007415771484,28.78017807006836,100.81866455078125,
2021-06-01,Madronnera,0.19842121005058289,0.7293318510055542,33.25700759887695,3.57
2021-06-01,Majadillas,,,,
2021-06-01,Majarrobledo,,,,
2021-06-01,Membrio,,,,
2021-06-01,Navarredonda,0.06042658910155296,242.01156616210938,4447.85546875,74.28
2021-06-01,Navas del Madronno,14.393662452697754,0.015160614624619484,6.590915679931641,10.48
2021-06-01,Nogales,,,,94.0
2021-06-01,Palomero,,,,
2021-06-01,Pretura del Molino,,,,
2021-06-01,Ribera del Castanno,,,,
2021-06-01,Rubiales,,,,
2021-06-01,San Marcos,,,,18.88
2021-06-01,Santa Lucia,,,,
2021-06-01,Talavan,1.4285837411880493,39.77501678466797,40.80922317504883,42.95
2021-06-01,Tres Torres,,,,76.19
2021-06-01,la Pesga,,,,
2021-11-01,Acebo,,,,7.5
2021-11-01,Aguijon,11.6854829788208,37.90614700317383,132.7116241455078,44.26
2021-11-01,Alcuescar,0.09208895266056061,18.92188262939453,312.1778869628906,20.94
2021-11-01,Aldea del Cano,1.7669711112976074,13.977685928344727,12.11669635772705,63.78
2021-11-01,Aliseda,4.637828350067139,8.365546226501465,6.040913105010986,8.64
2021-11-01,Alpotrel,2.549494981765747,7.241015911102295,14.744745254516602,10.4
2021-11-01,Arrocerezal,0.010639744810760021,45.87566375732422,51.07925796508789,6.69
2021-11-01,Brozas,80.8634262084961,198.05003356933594,506.2690734863281,113.38
2021-11-01,Burguillos del Cerro,,,,1.9
2021-11-01,Cantalgallo,,,,4.39
2021-11-01,Carrascalejo,,,,10.99
2021-11-01,El Santo,5.823910713195801,3.281672239303589,11.403529167175293,13.43
2021-11-01,Garciaz,0.1299264281988144,0.0001488462876295671,4.6107916831970215,4.33
2021-11-01,Garganta del Obispo,,,,1.9
2021-11-01,Guadalupe,,,,7.6
2021-11-01,Hervas,0.21813775599002838,0.0003336800145916641,119.30072784423828,12.93
2021-11-01,Jaime Ozores,,,,7.28
2021-11-01,Llerena,38.115447998046875,0.0007075416506268084,79.31941223144531,38.37
2021-11-01,Los Angeles,,,,41.63
2021-11-01,Los Huertos,,,,26.69
2021-11-01,Madronnera,5.570024490356445,13.350627899169922,38.018890380859375,13.12
2021-11-01,Majadillas,0.05293271690607071,2.2706239223480225,5.870245456695557,2.78
2021-11-01,Majarrobledo,1.742878794670105,2.0101916790008545,5.772991180419922,2.27
2021-11-01,Membrio,45.76166915893555,184.99929809570312,255.88778686523438,44.41
2021-11-01,Navarredonda,0.021221136674284935,1.338437557220459,4060.716552734375,164.61
2021-11-01,Navas del Madronno,,,,33.63
2021-11-01,Nogales,13.199886322021484,1.554239273071289,19.875202178955078,26.83
2021-11-01,Palomero,26.394121170043945,0.0006891912780702114,3.0314383506774902,18.75
2021-11-01,Pretura del Molino,1.2189522981643677,9.26803404581733e-05,1.2446717023849487,7.14
2021-11-01,Ribera del Castanno,0.9240102171897888,32.28742980957031,35.157901763916016,20.89
2021-11-01,Rubiales,0.002634498756378889,71.3844985961914,1920.9222412109375,70.85
2021-11-01,San Marcos,,,,27.73
2021-11-01,Santa Lucia,2.817207098007202,2.410308599472046,4.772862911224365,10.39
2021-11-01,Talavan,24.822786331176758,19.112285614013672,35.91484451293945,35.06
2021-11-01,Tres Torres,,,,111.98
2021-11-01,la Pesga,,,,33.45
2022-06-01,Acebo,,,,
2022-06-01,Aguijon,4.455963134765625,28.779924392700195,17.35748291015625,20.76
2022-06-01,Alcuescar,,,,206.8
2022-06-01,Aldea del Cano,115.67181396484375,250.22361755371094,546.8865356445312,91.02
2022-06-01,Aliseda,,,,
2022-06-01,Alpotrel,,,,
2022-06-01,Arrocerezal,,,,
2022-06-01,Brozas,45.54963684082031,34.53995132446289,279.6383361816406,44.79
2022-06-01,Burguillos del Cerro,45.537010192871094,199.4134521484375,310.18255615234375,61.64
2022-06-01,Cantalgallo,,,,
2022-06-01,Carrascalejo,,,,
2022-06-01,El Santo,,,,
2022-06-01,Garciaz,,,,
2022-06-01,Garganta del Obispo,,,,
2022-06-01,Guadalupe,,,,
2022-06-01,Hervas,,,,
2022-06-01,Jaime Ozores,41.51887893676758,139.8143310546875,493.1688537597656,199.83
2022-06-01,Llerena,43.99916076660156,30.32130241394043,41.275569915771484,30.43
2022-06-01,Los Angeles,,,,
2022-06-01,Los Huertos,,,,63.4
2022-06-01,Madronnera,,,,6.67
2022-06-01,Majadillas,,,,
2022-06-01,Majarrobledo,,,,
2022-06-01,Membrio,,,,
2022-06-01,Navarredonda,,,,10.53
2022-06-01,Navas del Madronno,2.6135172843933105,36.16460418701172,140.41270446777344,29.38
2022-06-01,Nogales,59.71788787841797,176.92796325683594,176.92796325683594,96.46
2022-06-01,Palomero,,,,
2022-06-01,Pretura del Molino,,,,
2022-06-01,Ribera del Castanno,,,,
2022-06-01,Rubiales,0.008418846875429153,51.17955017089844,1205.9962158203125,47.49
2022-06-01,San Marcos,,,,35.68
2022-06-01,Santa Lucia,,,,
2022-06-01,Talavan,52.70662307739258,26.7259521484375,104.9599838256836,72.17
2022-06-01,Tres Torres,,,,331.88
2022-06-01,la Pesga,,,,
2022-11-01,Acebo,1.3062212467193604,34.14523696899414,176.76986694335938,11.5
2022-11-01,Aguijon,3.568772792816162,5.577057361602783,261.62322998046875,166.96
2022-11-01,Alcuescar,,,,12.35
2022-11-01,Aldea del Cano,15.711077690124512,65.36180114746094,259.65484619140625,46.81
2022-11-01,Aliseda,7.626046657562256,0.00024908484192565084,1.6009284257888794,14.32
2022-11-01,Alpotrel,10.57620620727539,18.88274383544922,17.141510009765625,18.13
2022-11-01,Arrocerezal,1.0097788572311401,65.33163452148438,54.60538101196289,18.95
2022-11-01,Brozas,,,,40.0
2022-11-01,Burguillos del Cerro,42.06892013549805,238.73448181152344,3206.01708984375,201.095
2022-11-01,Cantalgallo,,,,12.2
2022-11-01,Carrascalejo,,,,13.24
2022-11-01,El Santo,34.588016510009766,30.239850997924805,225.39892578125,62.78
2022-11-01,Garciaz,,,,16.42
2022-11-01,Garganta del Obispo,0.01076002512127161,0.02075127698481083,0.06991223245859146,85.33
2022-11-01,Guadalupe,,,,17.09
2022-11-01,Hervas,,,,19.42
2022-11-01,Jaime Ozores,175.71067810058594,305.0118408203125,568.8960571289062,211.82
2022-11-01,Llerena,88.49412536621094,223.11572265625,711.7144165039062,147.12
2022-11-01,Los Angeles,,,,45.73
2022-11-01,Los Huertos,,,,70.55
2022-11-01,Madronnera,,,,38.93
2022-11-01,Majadillas,0.06586141884326935,4.33866548538208,13.073640823364258,25.99
2022-11-01,Majarrobledo,,,,20.48
2022-11-01,Membrio,,,,60.76
2022-11-01,Navarredonda,,,,3.39
2022-11-01,Navas del Madronno,,,,30.53
2022-11-01,Nogales,6.211979389190674,11.780858039855957,307.15985107421875,45.815
2022-11-01,Palomero,,,,44.83
2022-11-01,Pretura del Molino,6.05792236328125,0.067528136074543,9.318524360656738,8.41
2022-11-01,Ribera del Castanno,,,,26.99
2022-11-01,Rubiales,9.823238372802734,138.96566772460938,2006.9935302734375,204.58
2022-11-01,San Marcos,,,,27.47
2022-11-01,Santa Lucia,,,,11.94
2022-11-01,Talavan,40.75862503051758,45.38448715209961,131.48245239257812,45.02
2022-11-01,Tres Torres,,,,278.23
2022-11-01,la Pesga,,,,20.13
